Customer ID,Recency,Frequency,Monetary,Segment
12433,207,5,10992.51,VIP
12434,101,2,583.54,Mid
12435,109,4,4802.68,High
12437,19,30,9974.72,VIP
12439,523,2,1158.18,High
12440,303,2,859.2,Mid
12441,208,1,347.1,Mid
12443,573,1,485.31,Mid
12444,12,1,1870.2,High
12445,261,1,301.58000000000004,Mid
12447,84,1,476.49,Mid
12449,28,3,1627.53,High
12450,14,4,592.2,Mid
12451,59,5,8697.38,VIP
12455,31,7,5025.99,VIP
12456,96,1,940.1700000000001,Mid
12457,75,4,1699.93,High
12458,126,3,1272.01,High
12459,446,1,454.36,Mid
12460,297,1,326.65,Mid
12462,144,1,762.11,Mid
12463,16,3,985.7900000000001,Mid
12464,41,4,544.85,Mid
12465,10,1,440.94,Mid
12466,523,1,56.73,Low
12467,264,1,132.8,Low
12468,28,5,3400.7400000000002,High
12469,363,2,1878.34,High
12470,531,1,211.95,Mid
12471,52,60,24326.26,VIP
12472,20,16,15623.98,VIP
12473,33,1,672.19,Mid
12474,7,23,8239.8,VIP
12475,251,1,426.26,Mid
12476,59,16,9528.09,VIP
12477,80,5,10662.6,VIP
12480,108,5,3452.4900000000002,High
12481,21,12,10560.83,VIP
12482,417,27,17634.4,VIP
12483,24,16,3950.21,High
12484,18,8,4105.09,High
12485,370,1,708.1,Mid
12486,272,1,1037.28,High
12487,571,1,76.5,Low
12489,177,1,334.93,Mid
12490,13,14,6085.49,VIP
12492,244,1,452.0,Mid
12493,7,2,433.74,Mid
12494,2,7,1495.63,High
12495,482,1,357.4,Mid
12496,461,2,54.09,Low
12497,241,2,3259.32,High
12499,401,1,393.72,Mid
12500,10,13,2787.95,High
12501,177,1,2169.39,High
12502,59,3,1842.65,High
12504,258,2,297.0,Mid
12505,250,1,955.2,Mid
12506,74,1,73.5,Low
12507,140,2,985.41,Mid
12509,125,1,176.5,Low
12510,166,6,3241.51,High
12511,270,1,3084.02,High
12514,108,2,1597.76,High
12515,194,1,383.7,Mid
12516,21,3,1919.76,High
12517,31,1,766.95,Mid
12519,318,1,385.70000000000005,Mid
12520,46,3,1697.56,High
12523,94,16,3082.57,High
12524,3,15,8531.67,VIP
12525,339,3,973.73,Mid
12527,136,4,671.72,Mid
12528,117,2,771.66,Mid
12529,369,1,316.48,Mid
12530,75,7,2901.98,High
12531,527,1,1807.98,High
12533,469,2,1367.89,High
12535,27,1,371.45,Mid
12537,250,1,732.94,Mid
12538,219,1,276.5,Mid
12539,103,6,10164.09,VIP
12540,27,23,14444.77,VIP
12541,14,2,536.14,Mid
12542,325,2,481.88,Mid
12543,289,1,980.25,Mid
12545,100,1,628.15,Mid
12547,38,3,383.58,Mid
12548,7,1,95.19999999999999,Low
12549,416,6,1273.28,High
12551,199,1,168.0,Low
12553,45,7,2651.09,High
12554,289,1,468.5,Mid
12555,523,1,129.23,Low
12557,97,3,1896.34,High
12559,152,2,561.71,Mid
12561,143,1,238.85,Mid
12562,17,4,2140.41,High
12563,250,1,249.24,Mid
12564,102,1,456.90000000000003,Mid
12565,130,1,145.92000000000002,Low
12567,21,12,10415.68,VIP
12568,486,1,70.0,Low
12569,3,7,1401.74,High
12570,523,1,77.52,Low
12573,68,5,716.15,Mid
12574,157,1,218.45000000000002,Mid
12575,298,2,622.82,Mid
12576,59,5,1248.54,High
12577,200,6,1190.26,High
12578,171,3,3240.6,High
12580,88,2,1052.9,High
12582,80,4,1980.4,High
12583,12,19,10825.93,VIP
12584,26,2,622.74,Mid
12585,75,2,2040.1,High
12586,216,3,1865.73,High
12588,240,3,743.88,Mid
12589,262,5,2993.23,High
12590,52,1,5569.06,VIP
12591,158,3,1352.15,High
12592,54,3,1253.84,High
12593,60,1,236.0,Mid
12594,25,12,3559.84,High
12595,346,1,299.02,Mid
12596,83,1,269.95,Mid
12597,24,2,1204.81,High
12598,2,7,3095.39,High
12599,5,10,1862.28,High
12600,45,17,3523.2400000000002,High
12601,31,6,681.26,Mid
12604,102,1,178.5,Low
12605,217,4,1232.95,High
12606,523,1,21.0,Low
12608,246,1,415.79,Mid
12609,27,8,3109.7400000000002,High
12613,39,9,4953.21,High
12614,119,1,315.6,Mid
12615,9,5,4084.53,High
12616,138,2,673.4,Mid
12619,75,3,771.8,Mid
12620,45,1,561.66,Mid
12621,17,27,16448.71,VIP
12622,73,1,180.1,Low
12623,117,7,3747.84,High
12624,18,1,299.94,Mid
12625,53,4,5164.88,VIP
12626,3,3,2088.84,High
12629,227,2,1318.22,High
12631,297,5,2841.07,High
12632,362,2,804.88,Mid
12633,38,5,4817.53,High
12634,377,2,490.0,Mid
12635,233,2,1241.23,High
12636,580,1,141.0,Low
12637,80,8,4708.06,High
12638,481,1,249.8,Mid
12639,79,3,1312.3700000000001,High
12643,13,11,1554.48,High
12644,272,3,1440.58,High
12645,60,6,2563.02,High
12647,41,29,14911.69,VIP
12648,279,3,793.95,Mid
12649,53,6,2046.14,High
12651,175,4,377.75,Mid
12652,172,2,1017.0300000000001,High
12653,138,2,2730.08,High
12654,39,3,337.75,Mid
12655,265,1,261.35,Mid
12656,45,5,3761.26,High
12661,277,1,162.0,Low
12662,28,14,4976.32,High
12663,466,2,239.4,Mid
12664,73,4,1489.5,High
12665,166,3,313.6,Mid
12666,235,1,1045.92,High
12668,100,9,9824.0,VIP
12669,98,1,1136.3,High
12670,41,4,1790.63,High
12671,447,1,2214.48,High
12672,171,2,437.05,Mid
12673,167,2,840.4,Mid
12674,12,2,976.8,Mid
12675,395,2,958.5,Mid
12676,31,8,2340.65,High
12677,396,2,395.1,Mid
12678,28,15,16647.079999999998,VIP
12679,46,2,906.38,Mid
12681,28,36,25835.58,VIP
12682,19,34,17808.07,VIP
12683,26,16,9307.14,VIP
12684,12,4,1379.48,High
12686,213,1,178.28,Low
12687,321,1,1858.91,High
12690,47,1,389.01,Mid
12691,159,4,540.8,Mid
12692,478,1,110.95,Low
12693,53,6,1477.88,High
12694,24,2,1413.18,High
12695,51,4,914.27,Mid
12696,276,2,851.91,Mid
12697,10,1,390.5,Mid
12698,431,1,339.75,Mid
12699,258,1,638.11,Mid
12700,56,1,1092.43,High
12701,83,5,1985.78,High
12703,474,3,722.98,Mid
12704,11,1,329.56,Mid
12705,42,8,8057.91,VIP
12707,133,1,603.42,Mid
12708,21,14,4229.13,High
12709,32,26,21268.25,VIP
12710,2,2,790.36,Mid
12711,452,2,1339.05,High
12712,23,17,5692.41,VIP
12714,20,10,11660.03,VIP
12717,87,2,887.6700000000001,Mid
12720,11,16,5097.64,VIP
12721,24,6,3055.86,High
12724,14,5,1566.47,High
12725,212,3,2474.56,High
12726,26,9,2872.8199999999997,High
12727,28,8,4499.2300000000005,High
12728,98,4,851.15,Mid
12730,362,1,829.25,Mid
12731,16,12,12388.27,VIP
12732,21,1,236.26000000000002,Mid
12733,75,4,2424.87,High
12734,193,3,407.15,Mid
12735,156,2,779.5699999999999,Mid
12736,174,1,234.0,Mid
12737,339,1,100.0,Low
12738,213,1,310.7,Mid
12739,227,2,1460.69,High
12741,370,2,406.07,Mid
12742,466,1,1201.52,High
12744,90,7,7218.88,VIP
12745,328,3,925.41,Mid
12746,382,1,254.55,Mid
12747,6,22,6895.43,VIP
12748,0,229,30961.05,VIP
12749,54,5,3665.58,High
12751,285,1,268.27,Mid
12753,89,4,10281.31,VIP
12754,77,3,968.1099999999999,Mid
12755,121,10,1441.65,High
12757,26,2,846.03,Mid
12758,117,6,8314.64,VIP
12759,13,7,4571.82,High
12760,297,1,347.8,Mid
12761,298,2,782.95,Mid
12763,210,1,640.16,Mid
12764,158,1,1693.88,High
12765,313,6,1404.58,High
12766,81,6,7094.360000000001,VIP
12767,217,1,949.82,Mid
12768,291,1,168.69,Low
12769,80,1,1143.6,High
12770,52,2,2928.45,High
12771,326,1,282.3,Mid
12773,405,1,124.25,Low
12774,377,1,98.7,Low
12775,31,6,1464.76,High
12776,508,1,55.5,Low
12777,299,1,519.45,Mid
12778,24,7,1445.51,High
12779,31,13,5740.32,VIP
12780,440,1,337.4,Mid
12781,126,1,549.26,Mid
12782,94,9,3850.27,High
12784,370,1,1230.33,High
12785,205,3,1100.4,High
12786,450,1,728.5000000000001,Mid
12787,34,2,556.62,Mid
12788,304,4,444.90000000000003,Mid
12789,353,2,181.5,Low
12790,33,2,591.85,Mid
12791,215,6,1056.1100000000001,High
12792,97,2,827.01,Mid
12793,175,3,1017.33,High
12796,469,1,381.0,Mid
12797,207,2,806.11,Mid
12798,12,2,1270.3700000000001,High
12799,370,1,219.35,Mid
12800,311,3,584.25,Mid
12801,342,1,1071.82,High
12802,28,7,2416.42,High
12803,234,1,1092.81,High
12804,306,2,326.59999999999997,Mid
12805,222,4,1434.95,High
12806,276,4,2059.7200000000003,High
12807,224,1,330.35,Mid
12808,25,4,703.8000000000001,Mid
12809,19,3,1755.94,High
12810,376,2,534.99,Mid
12811,102,5,1033.9,High
12813,343,3,1687.8,High
12815,39,1,615.36,Mid
12816,17,1,318.65000000000003,Mid
12817,122,3,690.98,Mid
12818,102,1,577.28,Mid
12819,299,1,540.52,Mid
12820,167,8,1917.64,High
12821,55,2,220.8,Mid
12823,367,4,762.0,Mid
12825,362,2,518.63,Mid
12826,20,9,2299.65,High
12829,178,3,385.3,Mid
12830,13,1,1140.48,High
12831,103,3,451.11,Mid
12834,124,1,312.38,Mid
12835,269,41,6040.1,VIP
12836,60,13,5634.16,VIP
12837,14,2,688.41,Mid
12838,214,9,3105.3,High
12839,24,17,6180.68,VIP
12840,24,6,3465.9700000000003,High
12841,0,29,5888.84,VIP
12842,149,3,803.73,Mid
12843,0,29,6245.46,VIP
12844,283,2,322.64,Mid
12845,108,3,145.29000000000002,Low
12846,523,1,15.58,Low
12847,228,1,765.36,Mid
12848,516,1,208.0,Mid
12849,109,5,2744.17,High
12850,286,1,330.0,Mid
12851,318,1,148.95,Low
12852,136,1,311.55,Mid
12853,80,8,2835.4,High
12854,82,6,2479.89,High
12855,214,4,650.94,Mid
12857,52,6,3076.0,High
12858,224,1,177.5,Low
12859,299,1,575.1,Mid
12860,534,1,55.05,Low
12861,460,1,68.25,Low
12862,266,2,1008.32,High
12863,220,5,1387.35,High
12864,349,1,152.45,Low
12865,219,2,1755.24,High
12866,124,3,1227.35,High
12867,6,11,6228.08,VIP
12868,27,8,2247.06,High
12869,522,1,337.25,Mid
12870,216,3,1676.95,High
12871,48,2,495.38,Mid
12872,168,12,3684.65,High
12873,123,3,2027.3,High
12874,226,2,948.42,Mid
12875,312,3,391.68000000000006,Mid
12876,37,3,2590.2,High
12877,18,16,2378.23,High
12878,77,2,854.99,Mid
12880,223,2,640.13,Mid
12881,116,1,298.0,Mid
12886,61,1,775.0,Mid
12887,225,1,222.4,Mid
12888,55,2,354.12,Mid
12889,222,4,385.46000000000004,Mid
12890,228,1,336.38,Mid
12891,26,9,432.5,Mid
12892,238,1,263.38,Mid
12894,416,1,157.35,Low
12897,45,4,514.25,Mid
12898,305,2,310.96,Mid
12899,255,1,366.4,Mid
12900,263,1,340.33000000000004,Mid
12901,5,13,2454.36,High
12902,105,1,138.68,Low
12903,269,1,833.5300000000001,Mid
12904,13,1,244.69,Mid
12905,418,2,1018.42,High
12907,236,2,508.91,Mid
12909,42,6,2162.89,High
12910,39,8,3863.98,High
12911,392,1,1679.21,High
12913,124,10,2777.22,High
12914,241,1,223.98,Mid
12915,213,3,1010.75,High
12916,43,6,3960.65,High
12917,241,4,1329.8,High
12919,11,1,206.2,Mid
12920,412,3,323.86,Mid
12921,25,52,25405.27,VIP
12922,2,1,405.38,Mid
12923,231,2,612.9,Mid
12924,39,11,1611.3700000000001,High
12925,434,1,35.28,Low
12926,252,4,1547.66,High
12927,236,1,197.31,Low
12928,83,9,3022.23,High
12929,152,1,117.85,Low
12930,12,1,221.56,Mid
12931,45,23,4246.49,High
12932,380,8,1698.56,High
12933,12,7,1436.99,High
12934,578,1,181.65,Low
12935,44,10,2949.39,High
12937,38,7,2021.57,High
12939,114,10,2791.38,High
12941,565,1,377.49,Mid
12942,39,2,655.27,Mid
12943,399,2,496.5,Mid
12944,196,1,286.95,Mid
12945,129,2,900.11,Mid
12946,278,1,324.45,Mid
12947,23,5,1683.73,High
12948,56,5,1138.74,High
12949,47,17,13610.18,VIP
12951,15,14,2901.4300000000003,High
12953,363,1,498.96,Mid
12954,480,1,162.45,Low
12955,10,4,991.38,Mid
12956,147,4,521.89,Mid
12957,27,9,6404.72,VIP
12958,241,2,538.65,Mid
12959,325,1,150.95,Low
12960,255,4,1322.0700000000002,High
12961,220,1,211.99,Mid
12963,207,5,2110.76,High
12964,278,1,132.24,Low
12967,199,3,3898.92,High
12969,444,1,122.45,Low
12970,163,8,1095.48,High
12971,9,75,9768.12,VIP
12972,255,4,1161.2,High
12973,255,1,95.55000000000001,Low
12974,39,2,408.95,Mid
12975,278,6,2100.09,High
12976,53,8,3156.38,High
12977,342,3,478.39,Mid
12978,226,5,2502.82,High
12979,570,1,517.7,Mid
12980,18,14,3131.2799999999997,High
12982,83,8,2744.81,High
12983,439,1,490.08,Mid
12986,269,10,2264.84,High
12987,38,4,1057.81,High
12988,133,1,535.32,Mid
12989,41,16,3168.28,High
12990,26,6,809.9,Mid
12991,230,1,261.06,Mid
12992,566,1,93.35,Low
12993,49,6,1020.17,High
12994,110,1,352.6,Mid
12996,217,1,355.5,Mid
12997,77,6,1492.49,High
12998,334,3,920.08,Mid
12999,37,3,455.88,Mid
13000,101,3,956.1800000000001,Mid
13001,25,30,19903.79,VIP
13002,159,3,414.13,Mid
13003,56,1,59.050000000000004,Low
13004,9,28,9143.52,VIP
13005,15,4,999.68,Mid
13007,421,1,175.25,Low
13008,164,3,612.13,Mid
13009,513,1,234.0,Mid
13010,215,2,330.12,Mid
13011,213,1,101.10000000000001,Low
13012,54,6,2018.38,High
13013,53,19,9975.12,VIP
13014,10,5,3703.58,High
13015,38,10,4413.18,High
13018,20,19,6338.36,VIP
13019,220,6,1229.95,High
13020,404,2,618.96,Mid
13021,7,12,3423.33,High
13022,271,1,65.3,Low
13023,370,1,759.13,Mid
13024,312,2,555.87,Mid
13025,573,1,323.39,Mid
13026,62,6,1001.44,High
13027,75,14,7257.6,VIP
13029,216,2,81.0,Low
13030,209,1,855.48,Mid
13031,248,5,3418.43,High
13032,233,7,1833.3700000000001,High
13033,198,2,220.55,Mid
13034,210,2,445.77,Mid
13035,102,2,775.32,Mid
13036,526,1,307.1,Mid
13037,60,11,3611.2000000000003,High
13038,25,2,591.76,Mid
13039,425,4,1010.73,High
13041,291,4,799.13,Mid
13042,439,3,1556.54,High
13043,114,1,516.42,Mid
13044,132,11,4853.4800000000005,High
13045,242,2,503.64,Mid
13046,107,2,517.66,Mid
13047,14,21,7791.7,VIP
13048,79,7,3188.2200000000003,High
13049,159,3,905.34,Mid
13050,26,28,9966.380000000001,VIP
13051,420,2,155.8,Low
13052,53,7,3168.11,High
13053,463,1,127.65,Low
13055,55,2,1451.56,High
13056,392,1,209.48,Mid
13057,371,3,722.09,Mid
13059,91,10,2303.17,High
13060,94,1,307.53000000000003,Mid
13062,32,1,346.98,Mid
13063,321,1,188.4,Low
13064,168,3,764.55,Mid
13065,214,5,1260.91,High
13067,250,2,393.05,Mid
13068,161,1,165.0,Low
13069,21,30,7211.49,VIP
13070,33,4,751.7,Mid
13071,453,1,128.8,Low
13072,108,1,177.15,Low
13073,252,2,418.08,Mid
13074,352,4,1088.74,High
13076,299,1,135.4,Low
13077,131,10,2912.84,High
13078,4,43,21446.49,VIP
13079,258,1,199.08,Low
13080,20,4,280.73,Mid
13081,59,24,45123.78,VIP
13082,18,16,3913.25,High
13083,266,1,91.67999999999999,Low
13084,333,1,122.39999999999999,Low
13085,136,7,2295.3,High
13086,224,1,439.33000000000004,Mid
13087,567,1,313.64,Mid
13088,258,1,236.11,Mid
13089,11,155,76935.91,VIP
13090,17,15,4149.43,High
13091,570,1,762.98,Mid
13092,53,11,2102.2,High
13093,116,53,46387.45,VIP
13094,32,9,1598.88,High
13097,15,24,11071.5,VIP
13098,10,11,9223.82,VIP
13101,75,4,695.4,Mid
13102,14,29,9278.43,VIP
13103,278,2,465.70000000000005,Mid
13104,108,5,824.3399999999999,Mid
13105,277,1,72.0,Low
13106,254,1,526.96,Mid
13107,17,7,4656.67,High
13108,214,2,1098.52,High
13109,392,1,347.49,Mid
13110,98,8,2200.4500000000003,High
13111,560,1,321.88000000000005,Mid
13112,382,1,20.599999999999998,Low
13113,4,31,11077.39,VIP
13114,572,1,234.38,Mid
13115,25,7,4078.4700000000003,High
13117,59,16,2410.27,High
13118,49,7,2017.3,High
13119,510,1,134.9,Low
13120,80,1,30.6,Low
13121,110,1,283.73,Mid
13122,81,1,903.6700000000001,Mid
13123,314,2,506.75,Mid
13124,93,3,3490.24,High
13125,364,1,158.57,Low
13126,94,10,2976.03,High
13129,293,2,233.25,Mid
13131,29,5,2565.37,High
13132,102,1,77.3,Low
13133,115,3,200.45,Mid
13134,24,5,1567.39,High
13135,332,1,275.45,Mid
13136,53,9,4241.41,High
13137,94,10,4922.77,High
13138,82,3,891.7,Mid
13139,56,3,4308.06,High
13140,207,3,951.47,Mid
13141,55,16,6680.86,VIP
13143,425,1,405.1,Mid
13144,174,2,135.35,Low
13145,357,2,204.0,Mid
13148,0,22,7182.360000000001,VIP
13149,130,1,376.74,Mid
13150,325,3,449.96999999999997,Mid
13151,136,3,2580.7400000000002,High
13152,258,7,2146.38,High
13154,240,3,1624.84,High
13155,168,4,1346.78,High
13156,226,3,1586.54,High
13157,82,7,4444.08,High
13158,160,2,563.53,Mid
13161,154,2,478.88,Mid
13162,25,15,8892.64,VIP
13163,451,1,17.65,Low
13164,410,2,372.2,Mid
13165,192,2,784.32,Mid
13166,124,2,884.18,Mid
13167,231,1,333.82,Mid
13168,40,4,1528.78,High
13169,93,2,632.4000000000001,Mid
13171,140,1,140.35,Low
13172,241,1,69.6,Low
13173,208,10,2450.8,High
13174,157,11,8784.4,VIP
13175,423,2,831.45,Mid
13177,272,1,229.75,Mid
13178,12,16,11644.65,VIP
13179,459,1,572.3100000000001,Mid
13180,448,1,86.10000000000001,Low
13181,222,1,359.69,Mid
13183,49,9,4605.4800000000005,High
13184,25,5,919.97,Mid
13185,108,1,71.4,Low
13187,178,4,367.01,Mid
13190,385,3,570.66,Mid
13191,499,1,164.27,Low
13192,46,5,2110.96,High
13194,262,1,412.08,Mid
13195,255,1,171.96,Low
13196,103,4,1783.19,High
13197,451,1,373.01000000000005,Mid
13198,91,5,3660.7400000000002,High
13199,13,46,7488.29,VIP
13201,343,4,1240.61,High
13202,235,7,1580.3,High
13203,83,7,1944.5,High
13204,572,1,966.6600000000001,Mid
13206,241,13,8377.32,VIP
13207,292,2,285.6,Mid
13208,47,6,1464.0,High
13209,69,8,4980.34,High
13211,202,8,1438.6,High
13213,24,9,2882.4700000000003,High
13214,259,7,3264.23,High
13215,243,1,81.6,Low
13216,108,1,333.74,Mid
13217,496,1,132.5,Low
13219,459,1,76.23,Low
13220,27,4,1243.29,High
13221,81,2,847.41,Mid
13222,418,1,88.5,Low
13223,41,6,969.12,Mid
13225,37,12,8968.69,VIP
13226,114,2,312.46,Mid
13227,42,1,257.7,Mid
13229,66,1,160.95,Low
13230,43,25,5344.05,VIP
13232,22,4,878.45,Mid
13233,177,3,875.58,Mid
13234,513,2,356.95,Mid
13235,53,1,1031.07,High
13237,229,1,643.0,Mid
13238,4,4,624.75,Mid
13239,103,5,1594.69,High
13240,14,7,1628.48,High
13241,253,1,115.58,Low
13242,54,6,533.0,Mid
13243,44,5,1275.52,High
13245,273,1,558.72,Mid
13246,17,10,3257.7,High
13248,30,1,387.47,Mid
13249,102,7,1189.36,High
13250,302,2,256.04,Mid
13251,243,1,252.26,Mid
13252,235,2,399.3,Mid
13253,180,3,2397.19,High
13254,217,1,51.41,Low
13255,214,2,730.65,Mid
13257,277,1,149.75,Low
13258,46,3,561.22,Mid
13259,239,8,1140.64,High
13261,109,2,944.1,Mid
13262,104,3,573.45,Mid
13263,4,22,5221.65,VIP
13264,283,1,722.5600000000001,Mid
13265,25,3,1233.66,High
13266,26,13,4127.21,High
13267,41,28,7446.91,VIP
13268,10,6,2150.25,High
13269,20,19,5906.14,VIP
13274,250,1,360.85,Mid
13275,224,2,241.66,Mid
13276,238,3,1348.33,High
13277,221,3,264.9,Mid
13278,240,3,892.7,Mid
13280,157,6,2207.13,High
13281,280,1,350.85,Mid
13282,3,3,954.15,Mid
13283,26,3,305.2,Mid
13284,172,1,201.19,Mid
13285,2,5,2625.57,High
13286,441,1,734.91,Mid
13287,444,3,781.59,Mid
13288,284,4,561.85,Mid
13289,564,1,307.95,Mid
13291,255,10,2959.73,High
13292,125,4,665.14,Mid
13293,233,6,1192.94,High
13294,31,3,1689.53,High
13295,201,4,1101.97,High
13296,264,5,705.11,Mid
13297,226,3,2278.77,High
13299,109,3,1218.7,High
13300,10,3,1285.51,High
13301,63,2,327.77,Mid
13302,367,1,95.45,Low
13303,241,1,61.72,Low
13304,192,4,1217.99,High
13305,86,10,2394.1,High
13306,271,1,53.65,Low
13307,328,2,258.34,Mid
13308,44,2,1099.81,High
13309,47,3,796.22,Mid
13310,47,4,1226.82,High
13312,292,1,124.75,Low
13313,56,9,2499.7400000000002,High
13315,530,1,310.26000000000005,Mid
13316,95,7,5917.12,VIP
13317,40,18,5322.39,VIP
13319,11,46,16820.39,VIP
13320,55,4,1188.01,High
13324,44,15,6200.57,VIP
13326,273,1,281.76,Mid
13327,27,17,8124.06,VIP
13328,157,1,1042.08,High
13329,208,7,4322.17,High
13330,26,5,2393.47,High
13331,243,1,262.4,Mid
13333,252,3,1015.74,High
13334,32,4,5458.77,VIP
13337,387,1,1575.26,High
13338,383,3,1958.6,High
13339,42,1,860.12,Mid
13340,117,5,9230.01,VIP
13341,102,1,775.85,Mid
13343,18,1,353.43,Mid
13344,119,1,1366.15,High
13345,129,1,389.5,Mid
13346,303,6,299.4,Mid
13357,98,5,3838.36,High
13358,109,1,439.03000000000003,Mid
13359,244,1,603.75,Mid
13360,272,4,1553.65,High
13361,313,2,1450.5,High
13362,87,5,3884.86,High
13363,251,1,731.36,Mid
13365,58,1,700.6,Mid
13367,273,1,510.2,Mid
13368,98,4,1121.5,High
13369,207,1,616.5600000000001,Mid
13370,213,1,1509.74,High
13371,346,2,2297.66,High
13373,117,4,5262.64,VIP
13374,256,2,422.8,Mid
13375,286,1,761.58,Mid
13376,45,2,770.0,Mid
13377,237,2,1552.88,High
13380,274,1,62.4,Low
13381,48,8,5656.41,VIP
13382,122,5,1387.58,High
13384,19,5,3701.5,High
13385,171,1,534.57,Mid
13386,255,2,835.46,Mid
13387,258,1,188.31,Low
13388,445,1,508.55,Mid
13389,73,1,257.89,Mid
13391,45,1,59.8,Low
13392,518,1,91.14,Low
13393,425,4,1131.03,High
13394,55,14,5037.01,VIP
13395,26,3,1180.23,High
13396,160,1,387.27000000000004,Mid
13397,24,8,2628.21,High
13398,33,2,670.34,Mid
13399,305,3,275.4,Mid
13400,424,1,310.83,Mid
13402,213,3,1222.18,High
13403,228,2,154.5,Low
13404,53,1,217.81,Mid
13405,45,5,1198.81,High
13406,268,2,568.92,Mid
13407,419,3,2244.7,High
13408,8,74,34220.46,VIP
13410,28,7,1437.94,High
13412,461,1,487.35,Mid
13413,480,6,429.44,Mid
13414,304,3,713.64,Mid
13415,313,4,800.67,Mid
13416,577,1,228.3,Mid
13417,46,5,1264.66,High
13418,5,24,9170.49,VIP
13420,12,1,55.8,Low
13421,131,7,3075.82,High
13423,270,1,217.03,Mid
13424,291,1,572.77,Mid
13425,9,4,2954.07,High
13426,24,17,6084.74,VIP
13427,56,4,638.4300000000001,Mid
13428,355,2,281.51,Mid
13431,247,6,2047.14,High
13432,412,2,439.1,Mid
13433,342,4,658.32,Mid
13434,226,3,1132.6200000000001,High
13435,30,3,1109.06,High
13437,10,2,1661.73,High
13438,388,1,46.5,Low
13439,96,3,986.1899999999999,Mid
13440,264,7,1295.25,High
13441,273,1,424.26,Mid
13442,508,3,419.87,Mid
13443,289,6,1278.4,High
13444,215,2,631.68,Mid
13445,467,1,241.89999999999998,Mid
13446,271,11,3881.89,High
13448,59,10,6765.05,VIP
13450,2,10,3195.5,High
13451,52,9,5866.37,VIP
13452,314,1,139.8,Low
13453,7,3,781.69,Mid
13454,482,1,219.87,Mid
13455,207,5,2540.53,High
13456,17,2,425.06,Mid
13457,530,2,148.22,Low
13458,10,10,8873.56,VIP
13459,466,2,1160.41,High
13461,5,4,3082.6,High
13462,94,5,1153.8500000000001,High
13464,235,5,2422.96,High
13465,287,2,931.12,Mid
13466,25,5,1013.35,High
13468,21,57,11379.380000000001,VIP
13469,494,1,82.4,Low
13472,305,2,592.24,Mid
13473,174,7,1928.7,High
13474,77,3,663.37,Mid
13475,32,4,1431.78,High
13476,19,5,2061.4700000000003,High
13477,11,8,2145.38,High
13478,310,5,2215.78,High
13479,42,4,851.37,Mid
13480,257,2,627.82,Mid
13481,33,8,3005.27,High
13482,73,2,336.09,Mid
13484,82,3,790.72,Mid
13485,74,11,3019.2200000000003,High
13487,54,4,680.27,Mid
13488,38,16,11672.4,VIP
13489,130,2,235.68,Mid
13490,495,1,154.25,Low
13491,88,25,4382.37,High
13492,3,2,676.1,Mid
13493,116,2,618.63,Mid
13494,152,1,316.26000000000005,Mid
13495,73,8,4401.82,High
13496,201,1,501.01,Mid
